"","seconds","etype","shotdff","awayteam","hometeam","ev.team"
"1",124,"SHOT",1,"T.B","FLA","FLA"
"2",157,"SHOT",2,"T.B","FLA","FLA"
"3",210,"GOAL",1,"T.B","FLA","T.B"
"4",221,"SHOT",2,"T.B","FLA","FLA"
"5",228,"SHOT",3,"T.B","FLA","FLA"
"6",231,"SHOT",4,"T.B","FLA","FLA"
"7",244,"SHOT",5,"T.B","FLA","FLA"
"8",282,"SHOT",6,"T.B","FLA","FLA"
"9",288,"GOAL",5,"T.B","FLA","T.B"
"10",412,"SHOT",4,"T.B","FLA","T.B"
"11",495,"SHOT",5,"T.B","FLA","FLA"
"12",503,"SHOT",6,"T.B","FLA","FLA"
"13",522,"SHOT",5,"T.B","FLA","T.B"
"14",561,"SHOT",4,"T.B","FLA","T.B"
"15",589,"SHOT",5,"T.B","FLA","FLA"
"16",684,"SHOT",6,"T.B","FLA","FLA"
"17",705,"SHOT",7,"T.B","FLA","FLA"
"18",738,"GOAL",8,"T.B","FLA","FLA"
"19",754,"SHOT",9,"T.B","FLA","FLA"
"20",765,"SHOT",10,"T.B","FLA","FLA"
"21",768,"SHOT",11,"T.B","FLA","FLA"
"22",769,"SHOT",12,"T.B","FLA","FLA"
"23",770,"SHOT",13,"T.B","FLA","FLA"
"24",772,"SHOT",14,"T.B","FLA","FLA"
"25",916,"SHOT",15,"T.B","FLA","FLA"
"26",923,"SHOT",16,"T.B","FLA","FLA"
"27",928,"SHOT",17,"T.B","FLA","FLA"
"28",1001,"SHOT",16,"T.B","FLA","T.B"
"29",1008,"SHOT",15,"T.B","FLA","T.B"
"30",1046,"SHOT",14,"T.B","FLA","T.B"
"31",1195,"SHOT",15,"T.B","FLA","FLA"
"32",1198,"SHOT",16,"T.B","FLA","FLA"
"33",1238,"SHOT",17,"T.B","FLA","FLA"
"34",1306,"GOAL",18,"T.B","FLA","FLA"
"35",1398,"SHOT",19,"T.B","FLA","FLA"
"36",1518,"SHOT",20,"T.B","FLA","FLA"
"37",1697,"SHOT",21,"T.B","FLA","FLA"
"38",1823,"SHOT",22,"T.B","FLA","FLA"
"39",1928,"SHOT",21,"T.B","FLA","T.B"
"40",1940,"SHOT",22,"T.B","FLA","FLA"
"41",1955,"SHOT",23,"T.B","FLA","FLA"
"42",1964,"SHOT",24,"T.B","FLA","FLA"
"43",1977,"SHOT",25,"T.B","FLA","FLA"
"44",1983,"SHOT",26,"T.B","FLA","FLA"
"45",2013,"SHOT",27,"T.B","FLA","FLA"
"46",2037,"GOAL",26,"T.B","FLA","T.B"
"47",2084,"SHOT",25,"T.B","FLA","T.B"
"48",2098,"SHOT",24,"T.B","FLA","T.B"
"49",2176,"SHOT",25,"T.B","FLA","FLA"
"50",2238,"SHOT",24,"T.B","FLA","T.B"
"51",2244,"SHOT",23,"T.B","FLA","T.B"
"52",2249,"SHOT",22,"T.B","FLA","T.B"
"53",2312,"SHOT",23,"T.B","FLA","FLA"
"54",2341,"SHOT",24,"T.B","FLA","FLA"
"55",2376,"SHOT",25,"T.B","FLA","FLA"
"56",2414,"SHOT",26,"T.B","FLA","FLA"
"57",2544,"SHOT",25,"T.B","FLA","T.B"
"58",2706,"SHOT",26,"T.B","FLA","FLA"
"59",2766,"GOAL",27,"T.B","FLA","FLA"
"60",2802,"GOAL",28,"T.B","FLA","FLA"
"61",2822,"SHOT",29,"T.B","FLA","FLA"
"62",2891,"SHOT",28,"T.B","FLA","T.B"
"63",2912,"SHOT",29,"T.B","FLA","FLA"
"64",2914,"GOAL",30,"T.B","FLA","FLA"
"65",2940,"SHOT",29,"T.B","FLA","T.B"
"66",2963,"SHOT",28,"T.B","FLA","T.B"
"67",3008,"SHOT",29,"T.B","FLA","FLA"
"68",3080,"SHOT",28,"T.B","FLA","T.B"
"69",3090,"SHOT",27,"T.B","FLA","T.B"
"70",3102,"SHOT",26,"T.B","FLA","T.B"
"71",3149,"SHOT",25,"T.B","FLA","T.B"
"72",3167,"SHOT",24,"T.B","FLA","T.B"
"73",3252,"GOAL",23,"T.B","FLA","T.B"
"74",3375,"SHOT",22,"T.B","FLA","T.B"
"75",3393,"SHOT",21,"T.B","FLA","T.B"
"76",3473,"SHOT",20,"T.B","FLA","T.B"
"77",3561,"SHOT",19,"T.B","FLA","T.B"
"78",3570,"SHOT",18,"T.B","FLA","T.B"
