"","date","home","away","scorehome","scoreaway","gcode","nrow.outdata."
"1","October,4,2017","WPG","TOR",2,7,20001,68
"2","October,4,2017","PIT","STL",4,5,20002,67
"3","October,4,2017","EDM","CGY",3,0,20003,72
"4","October,4,2017","S.J","PHI",3,5,20004,66
"5","October,5,2017","BOS","NSH",4,3,20005,61
"6","October,5,2017","BUF","MTL",2,3,20006,88
"7","October,5,2017","NYR","COL",2,4,20007,65
"8","October,5,2017","OTT","WSH",4,5,20008,64
"9","October,5,2017","DET","MIN",4,2,20009,70
"10","October,5,2017","CHI","PIT",10,1,20010,73
"11","October,5,2017","ANA","ARI",5,4,20011,71
"12","October,5,2017","L.A","PHI",2,0,20012,62
"13","October,6,2017","CBJ","NYI",5,0,20013,66
"14","October,6,2017","T.B","FLA",5,3,20014,61
"15","October,6,2017","DAL","VGK",1,2,20015,76
"16","October,7,2017","TOR","NYR",8,5,20016,77
"17","October,7,2017","OTT","DET",1,2,20017,73
"18","October,7,2017","FLA","T.B",5,4,20018,78
"19","October,7,2017","N.J","COL",4,1,20019,80
"20","October,7,2017","NYI","BUF",6,3,20020,62
"21","October,7,2017","PIT","NSH",4,0,20021,60
"22","October,7,2017","WSH","MTL",6,1,20022,62
"23","October,7,2017","CAR","MIN",5,4,20023,74
"24","October,7,2017","STL","DAL",4,2,20024,61
"25","October,7,2017","CHI","CBJ",5,1,20025,62
"26","October,7,2017","ARI","VGK",1,2,20026,70
"27","October,7,2017","CGY","WPG",6,3,20027,73
"28","October,7,2017","VAN","EDM",3,2,20028,61
"29","October,7,2017","ANA","PHI",2,3,20029,60
"30","October,7,2017","S.J","L.A",1,4,20030,64
"31","October,8,2017","NYR","MTL",2,0,20031,59
"32","October,9,2017","BOS","COL",0,4,20032,52
"33","October,9,2017","NYI","STL",2,3,20033,80
"34","October,9,2017","BUF","N.J",2,6,20034,56
"35","October,9,2017","TOR","CHI",4,3,20035,64
"36","October,9,2017","T.B","WSH",4,3,20036,66
"37","October,9,2017","EDM","WPG",2,5,20037,82
"38","October,9,2017","ANA","CGY",0,2,20038,72
"39","October,10,2017","NYR","STL",1,3,20039,56
"40","October,10,2017","CAR","CBJ",1,2,20040,65
"41","October,10,2017","MTL","CHI",1,3,20041,67
"42","October,10,2017","NSH","PHI",6,5,20042,61
